customer_id,customer_name,age,gender,marital_status,state,employment_type,annual_income,dependents,customer_segment
1001,Pranav Joshi,50,Male,Single,Maharashtra,Salaried,1196261,0,Medium
1002,Harsh Agarwal,36,Male,Married,Karnataka,Salaried,1905215,1,High
1003,Vikram Choudhary,29,Male,Married,Delhi,Salaried,1442845,3,Medium
1004,Sneha Yadav,42,Female,Married,Delhi,Salaried,2146504,2,High
1005,Karthik Iyer,40,Male,Single,Delhi,Salaried,2435307,3,High
1006,Ishita Reddy,44,Female,Married,Delhi,Salaried,1106739,3,Medium
1007,Meera Agarwal,32,Female,Married,Delhi,Salaried,2183851,3,High
1008,Rahul Yadav,32,Male,Married,Bihar,Salaried,2196055,0,High
1009,Rohan Mehta,45,Male,Single,Karnataka,Self-employed,1505289,2,High
1010,Neha Jain,57,Female,Married,Delhi,Salaried,1690077,2,High
1011,Ankit Mishra,45,Male,Married,Karnataka,Salaried,743351,3,Medium
1012,Sneha Yadav,24,Female,Single,Bihar,Salaried,267642,0,Low
1013,Riya Gupta,43,Female,Married,Bihar,Self-employed,290093,0,Low
1014,Sanya Kumar,23,Female,Married,Karnataka,Salaried,1756182,2,High
1015,Aadhya Singh,45,Female,Single,Madhya Pradesh,Salaried,417215,0,Low
1016,Tanvi Joshi,51,Female,Married,Maharashtra,Self-employed,2203679,0,High
1017,Aarav Sharma,59,Male,Single,Madhya Pradesh,Self-employed,1955856,0,High
1018,Sai Reddy,23,Male,Single,Madhya Pradesh,Self-employed,1932465,1,High
1019,Shreya Mishra,42,Female,Married,Madhya Pradesh,Salaried,235954,3,Low
1020,Nandini Choudhary,54,Female,Married,Delhi,Salaried,726861,2,Medium
1021,Rahul Yadav,33,Male,Married,Bihar,Self-employed,2244424,2,High
1022,Ankit Mishra,43,Male,Married,Madhya Pradesh,Self-employed,1086040,1,Medium
1023,Diya Verma,46,Female,Single,Bihar,Salaried,522918,3,Low
1024,Vivaan Singh,48,Male,Married,Karnataka,Salaried,1272328,2,Medium
1025,Pooja Mehta,49,Female,Single,Maharashtra,Salaried,2445909,0,High
1026,Manish Gupta,37,Male,Married,Karnataka,Self-employed,316739,2,Low
1027,Sneha Yadav,36,Female,Married,Karnataka,Salaried,2090969,0,High
1028,Ankit Mishra,24,Male,Married,Delhi,Salaried,1486585,1,Medium
1029,Riya Gupta,58,Female,Single,Maharashtra,Salaried,980316,0,Medium
1030,Krishna Patel,28,Male,Married,Karnataka,Salaried,1566853,2,High
1031,Aditya Kumar,42,Male,Married,Karnataka,Salaried,1214929,2,Medium
1032,Pooja Mehta,30,Female,Married,Maharashtra,Salaried,1766847,2,High
1033,Aarav Sharma,39,Male,Married,Maharashtra,Self-employed,1680035,1,High
1034,Aadhya Singh,25,Female,Single,Karnataka,Salaried,388456,1,Low
1035,Vikram Choudhary,46,Male,Married,Maharashtra,Salaried,2206032,3,High
1036,Ishita Reddy,35,Female,Single,Karnataka,Salaried,428504,2,Low
1037,Krishna Patel,30,Male,Single,Karnataka,Salaried,1894693,0,High
